date,dayofyear,active.calories,steps,weight,steps.lag,calorie.lag
8/9/2015,221,480,17.48,168,NA,NA
8/10/2015,222,995.9,18.41,169.1,17.48,480
8/11/2015,223,1126.9,19.59,168,18.41,995.9
8/12/2015,224,522.2,10.4,167.2,19.59,1126.9
8/13/2015,225,843.8,18.7,168.2,10.4,522.2
8/14/2015,226,396.3,9.14,167.8,18.7,843.8
8/15/2015,227,423.3,8.69,166.3,9.14,396.3
8/16/2015,228,958.3,13.85,168.4,8.69,423.3
8/17/2015,229,596.8,11.89,169,13.85,958.3
8/18/2015,230,1377.5,24.64,169.3,11.89,596.8
8/22/2015,234,1025.1,11.05,168.5,24.64,1377.5
8/23/2015,235,1273.1,17.12,169.1,11.05,1025.1
8/24/2015,236,1275,16.41,168.4,17.12,1273.1
8/25/2015,237,702,7.68,167.7,16.41,1275
8/26/2015,238,1272.9,15.63,167.8,7.68,702
8/27/2015,239,1040,13.32,167.9,15.63,1272.9
8/28/2015,240,597.4,9.29,168.1,13.32,1040
8/30/2015,242,460.1,7.96,169.4,9.29,597.4
8/31/2015,243,529.9,8.87,168,7.96,460.1
9/1/2015,244,1217.4,16.93,166.3,8.87,529.9
9/2/2015,245,1042.9,13.98,165.3,16.93,1217.4
9/3/2015,246,580.9,9.73,167.2,13.98,1042.9
9/7/2015,250,410.1,5.02,166.1,9.73,580.9
9/8/2015,251,1110.8,15.19,168.9,5.02,410.1
9/9/2015,252,528.2,9.19,168.2,15.19,1110.8
9/10/2015,253,522.6,8.6,168.7,9.19,528.2
9/11/2015,254,1224.8,14.94,168.3,8.6,522.6
9/12/2015,255,613,10.55,166.6,14.94,1224.8
9/13/2015,256,990.1,14.11,167.4,10.55,613
9/14/2015,257,911.8,13.07,167.6,14.11,990.1
9/15/2015,258,586.4,10.5,167.9,13.07,911.8
9/16/2015,259,1037.5,13.51,167,10.5,586.4
9/17/2015,260,579.4,10.42,166.8,13.51,1037.5
9/18/2015,261,501.9,8.63,167.5,10.42,579.4
9/21/2015,264,1042.3,14.44,169.2,8.63,501.9
9/22/2015,265,941.2,13.53,168.6,14.44,1042.3
9/23/2015,266,804.8,12.26,168.2,13.53,941.2
9/24/2015,267,464.9,9.49,167.6,12.26,804.8
9/25/2015,268,583,9.44,167.2,9.49,464.9
9/26/2015,269,399.2,11.47,167.6,9.44,583
9/27/2015,270,590.1,7.56,166.5,11.47,399.2
9/28/2015,271,855.2,15.59,167.1,7.56,590.1
9/29/2015,272,894,15.75,168.3,15.59,855.2
9/30/2015,273,731.2,12.72,166.5,15.75,894
10/1/2015,274,463.9,9.37,167.1,12.72,731.2
10/2/2015,275,518,9.53,166.2,9.37,463.9
10/3/2015,276,369.3,7.18,166.3,9.53,518
10/4/2015,277,808.9,13.37,166.7,7.18,369.3
10/5/2015,278,824.5,12.3,165.7,13.37,808.9
10/6/2015,279,422.1,8.07,167.5,12.3,824.5
10/7/2015,280,917.5,15.8,166.4,8.07,422.1
10/8/2015,281,531.8,9.89,167.7,15.8,917.5
10/9/2015,282,964.1,18.17,167.4,9.89,531.8
10/10/2015,283,288.5,5.51,168.3,18.17,964.1
10/12/2015,285,847.3,15.05,166.7,5.51,288.5
10/13/2015,286,413.3,8.4,166.7,15.05,847.3
10/14/2015,287,420.6,8.39,166.9,8.4,413.3
10/15/2015,288,532.3,10.04,167.6,8.39,420.6
10/16/2015,289,506.1,10.41,168.7,10.04,532.3
10/17/2015,290,750.6,18.17,168.2,10.41,506.1
10/18/2015,291,364.1,6.89,168.2,18.17,750.6
10/19/2015,292,831.5,13.33,167.3,6.89,364.1
10/20/2015,293,525.2,10.78,166.8,13.33,831.5
10/21/2015,294,487,8.84,167.9,10.78,525.2
10/22/2015,295,777.9,14.6,169.2,8.84,487
10/23/2015,296,505,10.07,168.6,14.6,777.9
10/24/2015,297,778,13.76,168.8,10.07,505
10/25/2015,298,831.3,16.2,167,13.76,778
10/26/2015,299,898.1,13.49,167.5,16.2,831.3
10/27/2015,300,568.3,10.78,166.7,13.49,898.1
10/28/2015,301,416.9,6.74,168,10.78,568.3
10/29/2015,302,543.6,10.04,167,6.74,416.9
11/1/2015,305,739.5,13.49,169.8,10.04,543.6
11/2/2015,306,984.8,15.57,168.1,13.49,739.5
11/3/2015,307,545.5,11.21,167.2,15.57,984.8
11/4/2015,308,779.7,13.26,168.1,11.21,545.5
11/5/2015,309,487.7,9.56,167.9,13.26,779.7
11/6/2015,310,535,10.63,169.2,9.56,487.7
11/7/2015,311,264.6,4.02,169.7,10.63,535
11/8/2015,312,818.7,15.29,168.9,4.02,264.6
11/9/2015,313,892.4,13.98,168.4,15.29,818.7
11/10/2015,314,518.1,10.24,167.5,13.98,892.4
11/11/2015,315,792.2,12.73,167.9,10.24,518.1
11/12/2015,316,617.1,11.4,168.8,12.73,792.2
11/13/2015,317,896.3,15.45,169.8,11.4,617.1
11/14/2015,318,817.9,13.34,169.2,15.45,896.3
11/15/2015,319,237.3,3.98,167.8,13.34,817.9
11/16/2015,320,819.9,14.15,167.6,3.98,237.3
11/17/2015,321,527.9,11.23,167.3,14.15,819.9
11/18/2015,322,801.2,14.95,167.9,11.23,527.9
11/19/2015,323,524.7,9.26,168.1,14.95,801.2
11/21/2015,325,274,4.47,167.5,9.26,524.7
11/22/2015,326,851.8,12.43,167.1,4.47,274
11/23/2015,327,541.3,10.19,165.8,12.43,851.8
11/24/2015,328,590.3,10.42,168.7,10.19,541.3
12/1/2015,335,447.3,8.14,170.5,10.42,590.3
12/2/2015,336,821.1,14.07,170.1,8.14,447.3
12/3/2015,337,449.8,8.88,169.3,14.07,821.1
12/4/2015,338,578.4,10.01,169.3,8.88,449.8
12/6/2015,340,426.9,9.23,168.5,10.01,578.4
12/7/2015,341,711,11.16,168.5,9.23,426.9
12/8/2015,342,474.1,8.54,169.5,11.16,711
12/9/2015,343,916.6,15.37,170,8.54,474.1
12/11/2015,345,258.7,5.36,166.5,15.37,916.6
12/12/2015,346,728.1,14.67,167.4,5.36,258.7
12/13/2015,347,223,3.47,168.8,14.67,728.1
12/14/2015,348,773.5,13.23,169.7,3.47,223
12/15/2015,349,1125.6,18.67,168.5,13.23,773.5
12/16/2015,350,469.6,9.39,168.1,18.67,1125.6
12/17/2015,351,860.9,14.95,167.9,9.39,469.6
12/18/2015,352,470.7,8.16,167.8,14.95,860.9
12/19/2015,353,291.8,5.9,168.9,8.16,470.7
12/20/2015,354,840.4,16.06,166.6,5.9,291.8
12/21/2015,355,986.9,18.87,168.5,16.06,840.4
12/22/2015,356,285.1,5.75,169.2,18.87,986.9
12/23/2015,357,968.2,17.1,167.9,5.75,285.1
12/24/2015,358,470.4,10.93,168.4,17.1,968.2
12/26/2015,360,314,5.19,170.7,10.93,470.4
12/28/2015,362,429.5,8.94,170.1,5.19,314
12/29/2015,363,376.6,4.3,169.4,8.94,429.5
12/30/2015,364,191.8,3.07,169.1,4.3,376.6
1/12/2016,12,1130,21.11,174.7,3.07,191.8
1/13/2016,13,854.1,13.13,171.7,21.11,1130
1/14/2016,14,884.9,15.51,170.6,13.13,854.1
1/15/2016,15,830.9,13.91,170,15.51,884.9
1/16/2016,16,448.1,11.51,170.6,13.91,830.9
1/17/2016,17,915.8,16.23,172.6,11.51,448.1
1/18/2016,18,945.5,15.3,172.2,16.23,915.8
1/19/2016,19,1033.3,15.94,171,15.3,945.5
1/21/2016,21,492.4,9.49,170.2,15.94,1033.3
1/22/2016,22,809,14.04,170.5,9.49,492.4
1/23/2016,23,850.4,13.46,171,14.04,809
1/27/2016,27,314.5,4.95,171.7,13.46,850.4
1/29/2016,29,474.6,8.26,171.2,4.95,314.5
1/30/2016,30,274.4,3.85,170.5,8.26,474.6
1/31/2016,31,786.2,12.17,169.9,3.85,274.4
2/1/2016,32,673.3,12.99,170.8,12.17,786.2
2/2/2016,33,258.7,4.36,169.8,12.99,673.3
2/4/2016,35,627,11.81,170.1,4.36,258.7
2/5/2016,36,245,2.45,171.7,11.81,627
2/6/2016,37,827,13.56,169.5,2.45,245
2/7/2016,38,472.1,9.58,170.5,13.56,827
2/8/2016,39,903.4,14.7,171.4,9.58,472.1
2/9/2016,40,843.4,14.05,171.6,14.7,903.4
2/10/2016,41,983.3,16.93,171,14.05,843.4
2/11/2016,42,868,12.92,172.5,16.93,983.3
2/12/2016,43,462.6,6.42,171.9,12.92,868
2/13/2016,44,297.2,4.86,170.5,6.42,462.6
2/14/2016,45,264.1,5.42,172.1,4.86,297.2
2/15/2016,46,891.7,13.08,171.2,5.42,264.1
2/16/2016,47,956.4,14.6,171,13.08,891.7
2/17/2016,48,900,14.01,170.7,14.6,956.4
2/18/2016,49,487.9,8.31,170.6,14.01,900
2/19/2016,50,577.8,8.4,170.9,8.31,487.9
2/21/2016,52,853.5,14.83,170.9,8.4,577.8
2/22/2016,53,1018.1,16.63,172.1,14.83,853.5
2/23/2016,54,859.8,14.63,170.6,16.63,1018.1
2/24/2016,55,535.9,8.5,171.2,14.63,859.8
2/25/2016,56,908.1,14.33,170.7,8.5,535.9
2/26/2016,57,858.9,14.65,170.2,14.33,908.1
2/27/2016,58,370.1,7.45,170,14.65,858.9
2/28/2016,59,464.1,7.56,170.4,7.45,370.1
2/29/2016,60,544.7,9.89,170.3,7.56,464.1
3/1/2016,61,908.7,16.55,170.2,9.89,544.7
3/2/2016,62,865.4,13.16,170.9,16.55,908.7
3/3/2016,63,882.8,15.08,170.7,13.16,865.4
3/4/2016,64,930.7,15.02,169.7,15.08,882.8
3/5/2016,65,387.9,8.66,169.4,15.02,930.7
3/6/2016,66,255.6,3.57,170.7,8.66,387.9
3/7/2016,67,984,16.07,170.3,3.57,255.6
3/8/2016,68,515.5,8.64,172,16.07,984
3/9/2016,69,832.8,14.14,171,8.64,515.5
3/10/2016,70,869.7,13.61,169.8,14.14,832.8
3/11/2016,71,832.8,14.57,170.3,13.61,869.7
3/12/2016,72,438.2,9.21,170.4,14.57,832.8
3/21/2016,81,930.1,16.65,172.3,9.21,438.2
3/22/2016,82,876.5,14.41,172.3,16.65,930.1
3/23/2016,83,854.7,14.71,172.2,14.41,876.5
3/24/2016,84,895.8,14.46,171.3,14.71,854.7
3/25/2016,85,499.3,9.02,171.9,14.46,895.8
3/26/2016,86,588.4,11.77,173.1,9.02,499.3
3/27/2016,87,767.5,14,171,11.77,588.4
3/29/2016,89,999.7,18.04,172.4,14,767.5
3/30/2016,90,1069.4,19.1,172.8,18.04,999.7
3/31/2016,91,646.5,11.36,171.8,19.1,1069.4
4/1/2016,92,1003.4,18.48,172.8,11.36,646.5
4/2/2016,93,673.2,13.39,172.2,18.48,1003.4
4/4/2016,95,957.3,16.59,170.9,13.39,673.2
4/5/2016,96,911.7,17.07,171.5,16.59,957.3
4/6/2016,97,976.8,16,173.4,17.07,911.7
4/13/2016,104,874.8,15.03,172.1,16,976.8
4/14/2016,105,846.6,14.84,172,15.03,874.8
4/15/2016,106,869.5,15.02,170.2,14.84,846.6
4/16/2016,107,432.8,6.63,169.6,15.02,869.5
4/17/2016,108,642.1,15.64,169.9,6.63,432.8
4/18/2016,109,963.8,16.85,169,15.64,642.1
4/19/2016,110,855.1,15.72,169,16.85,963.8
4/20/2016,111,569.3,6.18,169.1,15.72,855.1
4/25/2016,116,584.1,11.57,170.8,6.18,569.3
4/26/2016,117,874.2,13.62,170.3,11.57,584.1
4/27/2016,118,844.1,13.95,168.7,13.62,874.2
4/28/2016,119,387.7,6.01,170.2,13.95,844.1
5/1/2016,122,282.9,5.04,170.4,6.01,387.7
5/2/2016,123,627.1,11.79,170.1,5.04,282.9
5/3/2016,124,822,14.89,170.5,11.79,627.1
5/4/2016,125,850.5,14.45,170.1,14.89,822
5/5/2016,126,1057.7,20.05,170.1,14.45,850.5
5/6/2016,127,627.5,12.08,170.8,20.05,1057.7
5/7/2016,128,348.7,5.84,172.1,12.08,627.5
5/8/2016,129,458.1,10.62,169,5.84,348.7
5/9/2016,130,560.1,10.39,169.7,10.62,458.1
5/10/2016,131,851.9,14.93,169.3,10.39,560.1
5/11/2016,132,442,8.36,170.5,14.93,851.9
5/12/2016,133,1034.3,19.84,170.3,8.36,442
5/13/2016,134,828.8,16.99,171.1,19.84,1034.3
5/14/2016,135,473.3,11.57,170,16.99,828.8
5/15/2016,136,520.2,10.32,170.1,11.57,473.3
5/16/2016,137,654.8,11.93,170.3,10.32,520.2
5/17/2016,138,658.6,9.56,170.1,11.93,654.8
5/18/2016,139,916.6,16.52,169,9.56,658.6
5/19/2016,140,924.8,17.78,169.8,16.52,916.6
5/20/2016,141,1065.8,19.14,170.9,17.78,924.8
5/23/2016,144,930.2,16.98,173.4,19.14,1065.8
5/24/2016,145,589.9,11.39,172.1,16.98,930.2
5/25/2016,146,707.5,11.44,170.7,11.39,589.9
5/28/2016,149,446.5,10.43,170.1,11.44,707.5
5/29/2016,150,589,13.79,170.6,10.43,446.5
5/30/2016,151,738.6,13.28,170.8,13.79,589
5/31/2016,152,1022.8,18.3,171.8,13.28,738.6
6/1/2016,153,718.5,14.41,171.5,18.3,1022.8
6/2/2016,154,920.3,16.77,171.7,14.41,718.5
6/3/2016,155,829.1,15.85,172.1,16.77,920.3
6/4/2016,156,295.6,8.53,171.7,15.85,829.1
6/5/2016,157,296.6,5.69,170.9,8.53,295.6
6/6/2016,158,851.5,15.57,170.3,5.69,296.6
6/7/2016,159,827.8,14.88,169.7,15.57,851.5
6/8/2016,160,488,10.48,170.2,14.88,827.8
6/9/2016,161,998.5,18.13,169.9,10.48,488
6/10/2016,162,433.2,9.86,169.9,18.13,998.5
6/11/2016,163,407.3,9.05,169.3,9.86,433.2
6/12/2016,164,523.3,11.61,168.6,9.05,407.3
6/13/2016,165,815.1,14,168.8,11.61,523.3
6/14/2016,166,1242.9,21.86,168.3,14,815.1
6/15/2016,167,351.1,7.22,168.8,21.86,1242.9
6/16/2016,168,881,17.26,170.7,7.22,351.1
6/17/2016,169,390.7,9.31,171.3,17.26,881
6/18/2016,170,483,12.2,169.1,9.31,390.7
6/19/2016,171,894.4,17.43,168.8,12.2,483
6/20/2016,172,880.7,15.99,167.9,17.43,894.4
6/21/2016,173,636.6,17.13,169.1,15.99,880.7
6/22/2016,174,332.3,5.84,169.5,17.13,636.6
6/26/2016,178,212.3,4.93,172,5.84,332.3
6/27/2016,179,351.6,7.21,168.6,4.93,212.3
6/28/2016,180,314.6,7.26,167,7.21,351.6
6/29/2016,181,347.7,8.58,166,7.26,314.6
6/30/2016,182,293.7,8.18,166.9,8.58,347.7
7/1/2016,183,377.7,9.43,166.8,8.18,293.7
7/2/2016,184,304.7,8.38,168.1,9.43,377.7
7/3/2016,185,286.4,7.07,167.4,8.38,304.7
7/4/2016,186,286.2,6.4,167,7.07,286.4
7/5/2016,187,264.9,6.95,171.4,6.4,286.2
7/6/2016,188,429.9,10.44,167.7,6.95,264.9
7/7/2016,189,345.5,9.13,168.4,10.44,429.9
7/8/2016,190,295.2,7.32,171.9,9.13,345.5
7/9/2016,191,342.5,8.03,171.2,7.32,295.2
7/10/2016,192,263.6,6.25,176.1,8.03,342.5
7/11/2016,193,354.1,9.66,166.7,6.25,263.6
7/12/2016,194,426.9,11.46,166.9,9.66,354.1
7/13/2016,195,580.7,12.22,168.8,11.46,426.9
7/14/2016,196,361.9,8.25,168.7,12.22,580.7
7/15/2016,197,251.3,5.52,168,8.25,361.9
7/16/2016,198,409.3,10.51,167.8,5.52,251.3
7/17/2016,199,351.3,9.7,167.8,10.51,409.3
7/18/2016,200,336,8.6,168.1,9.7,351.3
7/19/2016,201,641.7,13.85,168.4,8.6,336
7/20/2016,202,556.5,16.41,168.5,13.85,641.7
7/21/2016,203,250.6,4.96,169.3,16.41,556.5
7/22/2016,204,766.2,14.75,167.3,4.96,250.6
7/23/2016,205,334.5,7.75,168.7,14.75,766.2
7/24/2016,206,413.5,11.51,171.1,7.75,334.5
7/25/2016,207,791.5,15.87,170.1,11.51,413.5
7/26/2016,208,362.4,8.91,170,15.87,791.5
7/27/2016,209,684.9,14.35,170.4,8.91,362.4
7/28/2016,210,330.1,9.2,170.4,14.35,684.9
7/29/2016,211,265.3,5.74,168.5,9.2,330.1
7/30/2016,212,322.2,5.7,170.1,5.74,265.3
7/31/2016,213,353.2,8.17,170.5,5.7,322.2
8/1/2016,214,513.4,11.71,169.9,8.17,353.2
8/2/2016,215,295.3,5.94,170,11.71,513.4
8/3/2016,216,355.7,7.23,172.1,5.94,295.3
8/4/2016,217,839.8,17.73,170,7.23,355.7
8/5/2016,218,472.9,11.85,168.6,17.73,839.8
8/6/2016,219,618.9,16.3,173.1,11.85,472.9
8/7/2016,220,694.8,17.62,171.4,16.3,618.9
8/8/2016,221,405.6,10.13,171.9,17.62,694.8
8/9/2016,222,791.3,14.81,171.7,10.13,405.6
8/10/2016,223,808.9,14.55,171,14.81,791.3
8/11/2016,224,230,4.29,171.7,14.55,808.9
8/12/2016,225,708.7,12.18,172.4,4.29,230
8/13/2016,226,494.7,12.38,171.7,12.18,708.7
8/14/2016,227,653.1,12.19,171.1,12.38,494.7
8/15/2016,228,844,16.25,173,12.19,653.1
8/16/2016,229,283.8,6.42,173.2,16.25,844
8/17/2016,230,756.8,15.69,173.6,6.42,283.8
8/18/2016,231,457.8,11.61,172.6,15.69,756.8
8/19/2016,232,870,15.87,172.5,11.61,457.8
8/20/2016,233,356.2,8.06,169.3,15.87,870
8/21/2016,234,782.4,20.4,172.3,8.06,356.2
8/22/2016,235,835.3,16.36,170.2,20.4,782.4
8/23/2016,236,776.6,15.38,171,16.36,835.3
8/24/2016,237,380.2,8.84,170.9,15.38,776.6
8/25/2016,238,815.5,15.26,170.1,8.84,380.2
8/26/2016,239,645.3,15.97,169.5,15.26,815.5
8/27/2016,240,673.3,18.51,170.5,15.97,645.3
8/28/2016,241,443.7,10.43,170.3,18.51,673.3
8/29/2016,242,477.8,11.67,171.2,10.43,443.7
8/30/2016,243,744.7,15.51,171.7,11.67,477.8
8/31/2016,244,383.8,10.09,171.2,15.51,744.7
9/1/2016,245,714.7,13.67,172.4,10.09,383.8
9/2/2016,246,545.5,15.72,171.3,13.67,714.7
9/3/2016,247,527.6,12.58,173.3,15.72,545.5
9/4/2016,248,434.6,11.49,172.3,12.58,527.6
9/5/2016,249,773.5,15.04,171.8,11.49,434.6
